seed,pair_count,aggregation,module_family,median_gain_db,aligned_shuffled_delta_g_db,mean_absolute_difference_vs_12_db,rank_correlation_vs_12
0,4,pooled,ALL,11.03932661792652,18.30813979295502,0.5981551402067624,0.9941599615542591
0,4,macro,ALL,14.48343165319105,19.965499201727386,0.5981551402067624,0.9941599615542591
0,4,module_family,double.attn,15.595323916147379,20.929723936170973,0.5981551402067624,0.9941599615542591
0,4,module_family,double.context_attn,19.032937008368364,23.868517247371365,0.5981551402067624,0.9941599615542591
0,4,module_family,double.context_ff,23.53701266696529,29.32973158614565,0.5981551402067624,0.9941599615542591
0,4,module_family,double.ff,13.76859625986609,18.99289930740047,0.5981551402067624,0.9941599615542591
0,4,module_family,single.attn,8.67850670336463,14.646650577960738,0.5981551402067624,0.9941599615542591
0,4,module_family,single.mlp,6.28821336443455,12.025472555315115,0.5981551402067624,0.9941599615542591
0,6,pooled,ALL,11.007454987378498,18.324882159223684,0.5074185194446732,0.996114319126965
0,6,macro,ALL,14.567392591516475,19.982531583319922,0.5074185194446732,0.996114319126965
0,6,module_family,double.attn,15.630176844027774,20.956632273672085,0.5074185194446732,0.996114319126965
0,6,module_family,double.context_attn,19.21146491231252,23.93258313952981,0.5074185194446732,0.996114319126965
0,6,module_family,double.context_ff,23.49888894980603,29.288629118972572,0.5074185194446732,0.996114319126965
0,6,module_family,double.ff,13.961117105913987,19.013477193875072,0.5074185194446732,0.996114319126965
0,6,module_family,single.attn,8.666136002550125,14.629297654561777,0.5074185194446732,0.996114319126965
0,6,module_family,single.mlp,6.436571734488411,12.07457011930819,0.5074185194446732,0.996114319126965
0,8,pooled,ALL,11.03796076203193,18.40496613140186,0.36936171369158693,0.9976979280871382
0,8,macro,ALL,14.59930165314757,20.048372023609293,0.36936171369158693,0.9976979280871382
0,8,module_family,double.attn,15.716732935279921,21.030183403806262,0.36936171369158693,0.9976979280871382
0,8,module_family,double.context_attn,19.215800372997602,23.936835087144612,0.36936171369158693,0.9976979280871382
0,8,module_family,double.context_ff,23.227774163797093,29.24946367250272,0.36936171369158693,0.9976979280871382
0,8,module_family,double.ff,14.089399592232894,19.124253068643043,0.36936171369158693,0.9976979280871382
0,8,module_family,single.attn,8.778960888339686,14.74019249173914,0.36936171369158693,0.9976979280871382
0,8,module_family,single.mlp,6.567141966238225,12.209304417819986,0.36936171369158693,0.9976979280871382
0,10,pooled,ALL,11.193450860474213,18.51630709719593,0.12355138990168439,0.9997391135980829
0,10,macro,ALL,14.644540451227988,20.131551627477492,0.12355138990168439,0.9997391135980829
0,10,module_family,double.attn,15.971522860999848,21.214257853321158,0.12355138990168439,0.9997391135980829
0,10,module_family,double.context_attn,19.211204341940284,23.919529700415566,0.12355138990168439,0.9997391135980829
0,10,module_family,double.context_ff,22.661454628152548,28.971476966868945,0.12355138990168439,0.9997391135980829
0,10,module_family,double.ff,14.288657254045008,19.342898231556756,0.12355138990168439,0.9997391135980829
0,10,module_family,single.attn,8.972432270070996,14.941825619742458,0.12355138990168439,0.9997391135980829
0,10,module_family,single.mlp,6.761971352159252,12.399321392960056,0.12355138990168439,0.9997391135980829
0,12,pooled,ALL,11.255711837424315,18.57680749783372,0.0,1.0
0,12,macro,ALL,14.717957717954333,20.177692957616383,0.0,1.0
0,12,module_family,double.attn,16.054712191069957,21.259508919153653,0.0,1.0
0,12,module_family,double.context_attn,19.274268084197423,23.92875461657466,0.0,1.0
0,12,module_family,double.context_ff,22.59744298701863,28.903718553554647,0.0,1.0
0,12,module_family,double.ff,14.452025621597224,19.42587341944386,0.0,1.0
0,12,module_family,single.attn,9.093137690014915,15.067877435411273,0.0,1.0
0,12,module_family,single.mlp,6.8361597338278415,12.4804248015602,0.0,1.0
1,4,pooled,ALL,11.053657256208895,18.328335931286556,0.5750454853840141,0.9941466727045374
1,4,macro,ALL,14.34210264512217,19.971788761310105,0.5750454853840141,0.9941466727045374
1,4,module_family,double.attn,15.315604060052214,20.891561211502637,0.5750454853840141,0.9941466727045374
1,4,module_family,double.context_attn,18.942692349819175,23.86386504425142,0.5750454853840141,0.9941466727045374
1,4,module_family,double.context_ff,23.237345338070583,29.33961988542304,0.5750454853840141,0.9941466727045374
1,4,module_family,double.ff,13.523701545767448,18.939731544251707,0.5750454853840141,0.9941466727045374
1,4,module_family,single.attn,8.7507740426481,14.725209970365063,0.5750454853840141,0.9941466727045374
1,4,module_family,single.mlp,6.2824985343754856,12.070744912066763,0.5750454853840141,0.9941466727045374
1,6,pooled,ALL,11.0257448794858,18.34322680846316,0.4861981820295375,0.9957513529989733
1,6,macro,ALL,14.469962373732614,20.002806462311778,0.4861981820295375,0.9957513529989733
1,6,module_family,double.attn,15.467789693780992,20.973423543190712,0.4861981820295375,0.9957513529989733
1,6,module_family,double.context_attn,19.107221275423974,23.942046001357998,0.4861981820295375,0.9957513529989733
1,6,module_family,double.context_ff,23.338296241108285,29.312890297374423,0.4861981820295375,0.9957513529989733
1,6,module_family,double.ff,13.862392002731408,19.05950323811289,0.4861981820295375,0.9957513529989733
1,6,module_family,single.attn,8.670652758707948,14.658585623852096,0.4861981820295375,0.9957513529989733
1,6,module_family,single.mlp,6.373422270643074,12.07039006998254,0.4861981820295375,0.9957513529989733
1,8,pooled,ALL,11.130485158326124,18.42040759504577,0.3570701594077318,0.9975102747102466
1,8,macro,ALL,14.564821615700758,20.070256005328172,0.3570701594077318,0.9975102747102466
1,8,module_family,double.attn,15.71060964310085,21.048458937201836,0.3570701594077318,0.9975102747102466
1,8,module_family,double.context_attn,19.286230158765406,23.995630109520672,0.3570701594077318,0.9975102747102466
1,8,module_family,double.context_ff,23.04142665701944,29.25510293653595,0.3570701594077318,0.9975102747102466
1,8,module_family,double.ff,14.03630444996983,19.180619320313426,0.3570701594077318,0.9975102747102466
1,8,module_family,single.attn,8.786330748886256,14.74710799754841,0.3570701594077318,0.9975102747102466
1,8,module_family,single.mlp,6.528028036462759,12.194616730848729,0.3570701594077318,0.9975102747102466
1,10,pooled,ALL,11.17423688822092,18.48701207482419,0.11817819700195567,0.999751657340315
1,10,macro,ALL,14.593883567205479,20.110012681627847,0.11817819700195567,0.999751657340315
1,10,module_family,double.attn,15.892187288436164,21.206292244196852,0.11817819700195567,0.999751657340315
1,10,module_family,double.context_attn,19.153313202557143,23.927227154407916,0.11817819700195567,0.999751657340315
1,10,module_family,double.context_ff,22.689336240041825,28.907658705706375,0.11817819700195567,0.999751657340315
1,10,module_family,double.ff,14.2194772456693,19.382877476629496,0.11817819700195567,0.999751657340315
1,10,module_family,single.attn,8.888718318245068,14.890226667467948,0.11817819700195567,0.999751657340315
1,10,module_family,single.mlp,6.720269108283375,12.345793841358493,0.11817819700195567,0.999751657340315
1,12,pooled,ALL,11.220990158713976,18.524617222819263,0.0,1.0
1,12,macro,ALL,14.649851984671123,20.1317267117121,0.0,1.0
1,12,module_family,double.attn,15.95363243329145,21.22385493519106,0.0,1.0
1,12,module_family,double.context_attn,19.260734227078483,23.91591708419493,0.0,1.0
1,12,module_family,double.context_ff,22.62906787935168,28.80132714775461,0.0,1.0
1,12,module_family,double.ff,14.284860668217723,19.442683590850553,0.0,1.0
1,12,module_family,single.attn,8.99920191246825,14.99078939141644,0.0,1.0
1,12,module_family,single.mlp,6.771614787619148,12.41578812086503,0.0,1.0
2,4,pooled,ALL,11.353164587873557,18.49136437636645,0.5907957355559614,0.9931739053642278
2,4,macro,ALL,14.541643812888566,20.134525901926917,0.5907957355559614,0.9931739053642278
2,4,module_family,double.attn,15.40391413092457,21.06751362141913,0.5907957355559614,0.9931739053642278
2,4,module_family,double.context_attn,19.149028421838047,23.98581224320901,0.5907957355559614,0.9931739053642278
2,4,module_family,double.context_ff,23.624570471819357,29.52006125256182,0.5907957355559614,0.9931739053642278
2,4,module_family,double.ff,13.769597355495929,19.110008695001483,0.5907957355559614,0.9931739053642278
2,4,module_family,single.attn,8.896797761681853,14.916073284431537,0.5907957355559614,0.9931739053642278
2,4,module_family,single.mlp,6.405954735571643,12.207686314938536,0.5907957355559614,0.9931739053642278
2,6,pooled,ALL,11.143407022129566,18.445267897614873,0.44313259668987753,0.9962788458742606
2,6,macro,ALL,14.562790777154442,20.1000672499445,0.44313259668987753,0.9962788458742606
2,6,module_family,double.attn,15.53959702848286,21.07643167323702,0.44313259668987753,0.9962788458742606
2,6,module_family,double.context_attn,19.330181833871052,23.98395624606023,0.44313259668987753,0.9962788458742606
2,6,module_family,double.context_ff,23.45889888795942,29.43076159058991,0.44313259668987753,0.9962788458742606
2,6,module_family,double.ff,13.88512449070944,19.147514308527924,0.44313259668987753,0.9962788458742606
2,6,module_family,single.attn,8.776674006336833,14.793543159896533,0.44313259668987753,0.9962788458742606
2,6,module_family,single.mlp,6.386268415567049,12.168196521355398,0.44313259668987753,0.9962788458742606
2,8,pooled,ALL,11.266224632531422,18.536864607248845,0.30802426115334564,0.9976286417707956
2,8,macro,ALL,14.666703214754248,20.170685430810124,0.30802426115334564,0.9976286417707956
2,8,module_family,double.attn,15.762116992833551,21.149680640332587,0.30802426115334564,0.9976286417707956
2,8,module_family,double.context_attn,19.402118026131532,24.02813248566192,0.30802426115334564,0.9976286417707956
2,8,module_family,double.context_ff,23.157133094183525,29.324501393363335,0.30802426115334564,0.9976286417707956
2,8,module_family,double.ff,14.111994177123645,19.25099379237291,0.30802426115334564,0.9976286417707956
2,8,module_family,single.attn,8.949676358694513,14.939472550315768,0.30802426115334564,0.9976286417707956
2,8,module_family,single.mlp,6.6171806395587165,12.331331722814234,0.30802426115334564,0.9976286417707956
2,10,pooled,ALL,11.284071712759864,18.564585287089365,0.11252692455413177,0.9997050030563558
2,10,macro,ALL,14.636658204391281,20.176318161099395,0.11252692455413177,0.9997050030563558
2,10,module_family,double.attn,15.852624182238692,21.256160618142463,0.11252692455413177,0.9997050030563558
2,10,module_family,double.context_attn,19.316233966872552,23.960758493395833,0.11252692455413177,0.9997050030563558
2,10,module_family,double.context_ff,22.65684445903727,28.97358115362481,0.11252692455413177,0.9997050030563558
2,10,module_family,double.ff,14.221847041987242,19.408635371314706,0.11252692455413177,0.9997050030563558
2,10,module_family,single.attn,9.028088356360458,15.023222484704789,0.11252692455413177,0.9997050030563558
2,10,module_family,single.mlp,6.744311219851475,12.43555084541377,0.11252692455413177,0.9997050030563558
2,12,pooled,ALL,11.238472240726125,18.556133672566897,0.0,1.0
2,12,macro,ALL,14.654640567291912,20.158915862766648,0.0,1.0
2,12,module_family,double.attn,15.94786193279495,21.249786847545792,0.0,1.0
2,12,module_family,double.context_attn,19.30284209567759,23.92158717240754,0.0,1.0
2,12,module_family,double.context_ff,22.596844995772997,28.847009321312605,0.0,1.0
2,12,module_family,double.ff,14.262210999259285,19.439537631398693,0.0,1.0
2,12,module_family,single.attn,9.058268879993479,15.052816781699729,0.0,1.0
2,12,module_family,single.mlp,6.759814500253166,12.442757422235536,0.0,1.0
